text,label
Dieta Plus,1
Enazol Plus,1
Tizadin,1
Clonate-NN,1
museum,0
Empazin L,1
brushes,0
bench,0
Scameth,1
Gen-3,1
Dextor-T,1
Diaryl,1
Xitob,1
unsubscribe,0
messenger,0
Tendia,1
classicvacations,0
heels,0
cy,0
briefings,0
Fluticasone Propionate (Topical),1
arise,0
gate,0
Beucal D,1
facial,0
Mifepristone + Misoprostol,1
pharmacist,0
place,0
americans,0
referee,0
questioned,0
tune,0
Gastid,1
expands,0
sts,0
Ciprolyn,1
Lerex,1
Liploss,1
disease,0
uncertainty,0
surplus,0
charset,0
appetite,0
treat,0
Viptin,1
Uptiva,1
Zinc oxide + Benzyl alcohol + Benzyl benzoate + Benzyl cinnamate + Lanolin,1
CCB,1
Novastin,1
cf,0
les,0
Fenobac,1
womens,0
eventually,0
strike,0
Etrifal Ustukhudus,1
R-Y Jelly,1
hwy,0
trace,0
artifacts,0
Kofed,1
linguistic,0
manner,0
vf,0
bea,0
patterson,0
Phoenix Calcium,1
Menocare,1
Virux-HC,1
Algicon,1
exciting,0
Rupastar,1
Normens,1
gemini,0
Mycef DS,1
sic,0
Kalcoral kit,1
Imiro,1
who,0
woods,0
Ispaghula Husk + Sonapata,1
court,0
curtains,0
Reno,1
contra,0
Folcid,1
trinidad,0
colour,0
Nepagen TS,1
Ospemifene,1
inst,0
Erectomed,1
algorithms,0
Risperidone (Injection),1
dangerous,0
tuberculosis,0
Cetra,1
bundle,0
Ngcef DS,1
vb,0
Breathlin SR,1
Nipro Gold,1
Levosafe,1
Mabic,1
Sumin,1
Novirax HC,1
Kadcyla,1
atx,0
down,0
Hartsol,1
cloth,0
advantage,0
Avator,1
Glunor,1
thorough,0
Palbo,1
Niz,1
apprentice,0
wins,0
wholesalers,0
Xenole,1
liner,0
literacy,0
Tolvaptan,1
melody,0
continents,0
Asmolex-L,1
Rabetem,1
lisbon,0
ra,0
guam,0
reminds,0
Tacrolimus (Topical),1
baptist,0
registered,0
incest,0
Setra,1
Mapez,1
Mitomycin C,1
Ferric Citrate,1
substantially,0
winter,0
Pantosec,1
tap,0
windows,0
eco,0
Meradexon,1
Klinkof-D,1
georgian,0
Emorivir,1
transportation,0
Aminocaproic acid,1
Liftear,1
Talmimax,1
kathleen,0
jigsaw,0
talents,0
sparks,0
calgary,0
Acusan,1
Salbutal,1
panty,0
Regler,1
refused,0
Cleodin,1
airmail,0
Cefuxet,1
Nixamid,1
fiscal,0
felony,0
fish,0
Sharbat Amla,1
routinely,0
Vitaflower-Z,1
Empa,1
jk,0
administered,0
Glimirid,1
Loderm,1
Appras,1
logout,0
Tolter,1
Ulsec,1
Albol-DS,1
Zofra,1
Avodil VL,1
perspectives,0
claimant,0
Coralcin-D,1
defendants,0
Radiglip,1
Rhophylac,1
Cardosia Plus,1
education,0
Cab,1
martin,0
pat,0
Xarelta,1
scrapbooking,0
ads,0
Tinizol DS,1
Xolam XR,1
hazardous,0
stella,0
representations,0
kerr,0
Lesal,1
Varenicline Tartrate,1
Floxabid,1
icq,0
Sedaquil,1
Hi-met,1
caravan,0
Iron Polymaltose Complex + Folic Acid + Zinc Sulfate,1
outreach,0
Vitaplex-Z,1
turtle,0
Megadox,1
tonga,0
denial,0
forbes,0
Handigel,1
Nipaplex,1
Formet V,1
Stark,1
Calcitrol,1
Freshfil,1
booty,0
Thiason,1
Laxicon,1
sentences,0
window,0
clifford,0
Sistin,1
Novaflox,1
Antipro,1
Colistimethate Sodium,1
preview,0
caring,0
Laxefin,1
stag,0
retire,0
Viton-EC,1
rFSH,1
A-Mycin,1
Ciprobac 500,1
fundraising,0
monuments,0
Arodin,1
Migofen,1
Pentosa,1
shareholder,0
Uniplex,1
Trifix,1
Tamsulin Plus,1
expansys,0
Orvatin,1
file,0
Ethro,1
system,0
compact,0
netherlands,0
virtue,0
Laxol,1
arm,0
Leanxit,1
sacred,0
Care-on,1
Noriz,1
Peflon,1
Clindabac,1
hosted,0
Hepatitis B Vaccine [rDNA],1
Flupion,1
roundup,0
divers,0
influences,0
deadline,0
Ostomax,1
Rinofen,1
usr,0
yale,0
limited,0
Diverin,1
inadequate,0
ride,0
Erdostin,1
Extravit B,1
Ligend,1
E-capro,1
G-Cefixime,1
governors,0
math,0
mosaic,0
carry,0
computed,0
eye,0
insert,0
bukkake,0
Dirozyl,1
Z-sil,1
Novacal DX,1
Jasocal,1
vendors,0
osha,0
seas,0
uganda,0
Beklo,1
implementations,0
Kilbac,1
Ostocal,1
Acyclovir + Hydrocortisone,1
tnt,0
Ancotil,1
Zitrex,1
Elocon,1
Lucza,1
Ropenem,1
Labpan,1
neil,0
tour,0
section,0
Clacef,1
Lasilactone,1
Montinex,1
Muconil,1
ut,0
lt,0
scanner,0
Taxedol,1
Maxilax,1
Cevozin,1
Vertina-D,1
Muroderm,1
upc,0
chassis,0
Oticef,1
esl,0
bent,0
Popular Hand Sanitizer,1
headache,0
hundred,0
carson,0
southeastern,0
personals,0
Docefrez,1
Glucosamine Sulfate + Chondroitin + Camphor + Peppermint oil,1
treo,0
photo,0
frankly,0
Nidocard Retard,1
Dextrop,1
G-Ephedrine,1
Levocetirizine Dihydrochloride,1
Livax,1
Crisaborole,1
Apixaban,1
operation,0
blues,0
interiors,0
lived,0
Tazox,1
pairs,0
graphical,0
wide,0
Absol,1
consulting,0
greensboro,0
brent,0
crash,0
Nitasol,1
logical,0
dave,0
adverts,0
Nitroglycerin (IV Infusion),1
Insulin Human [Fast-Acting],1
Danium,1
fed,0
VCAP,1
Hi-Floxin,1
Zometa,1
Lopos Plus,1
SB-Acelo,1
Onmet,1
Khakshi,1
Sodium Alginate + Potassium Bicarbonate,1
Primacap,1
Cilostazol,1
Dilock,1
normal,0
Envit-M,1
Fluvate,1
excite,0
terrestrial,0
soils,0
sail,0
Adapalene + Benzoyl peroxide,1
Pirocin,1
Selex,1
authentication,0
Cod Plus,1
briefly,0
nevertheless,0
suburban,0
Feocron,1
Bufocort,1
Veesina,1
supplies,0
shifts,0
nv,0
tribes,0
Tramamax,1
Reoplex Forte,1
ideally,0
Ertivix,1
confirm,0
settled,0
sting,0
attracted,0
Aldes,1
